4014,166,4297,166,4297,287,4014,287
4106,372,4361,372,4361,397,4106,397
4131,405,4321,405,4321,428,4131,428
301,491,542,321,590,390,349,560
4146,477,4304,477,4304,551,4146,551
3965,587,4497,587,4497,628,3965,628
3951,632,4374,632,4374,782,3951,782
4250,746,4287,746,4287,779,4250,779
3652,693,3859,693,3859,727,3652,727
738,725,829,746,819,786,729,765
1359,706,1412,706,1412,768,1359,768
1968,706,2017,706,2017,768,1968,768
2160,706,2239,706,2239,768,2160,768
2351,724,2351,782,2309,782,2309,724
2330,710,2400,710,2400,764,2330,764
4546,689,4717,689,4717,784,4546,784
1456,783,1488,786,1487,801,1455,798
674,802,674,800,685,800,685,802
1012,827,1012,796,1025,796,1025,827
673,823,673,821,684,821,684,823
2351,827,2351,838,2309,838,2309,827
800,821,866,817,868,853,802,857
672,854,672,852,683,852,683,854
2534,833,2652,833,2652,873,2534,873
4102,843,4357,843,4357,893,4102,893
2351,883,2351,894,2309,894,2309,883
1301,877,1366,877,1366,942,1301,942
2351,934,2351,945,2309,945,2309,934
2782,955,2782,922,2797,922,2797,955
2725,944,2772,944,2772,967,2725,967
3804,931,4150,931,4150,962,3804,962
4532,937,4632,937,4632,966,4532,966
2324,960,2880,948,2881,1018,2326,1030
1644,996,1781,1025,1771,1071,1634,1042
3801,997,3943,997,3943,1024,3801,1024
4535,994,4634,994,4634,1029,4535,1029
1068,1051,1066,1019,1092,1018,1094,1050
1456,1028,1574,1024,1575,1048,1457,1052
3803,1053,3939,1053,3939,1079,3803,1079
4534,1057,4635,1057,4635,1086,4534,1086
1072,1131,1070,1099,1096,1098,1098,1130
1454,1124,1454,1094,1471,1094,1471,1124
1557,1076,1747,1068,1749,1118,1559,1126
3803,1113,3996,1113,3996,1134,3803,1134
4538,1113,4625,1113,4625,1135,4538,1135
1650,1189,1650,1135,1675,1135,1675,1189
3797,1171,3842,1171,3842,1198,3797,1198
4541,1172,4624,1172,4624,1195,4541,1195
3802,1226,3856,1226,3856,1257,3802,1257
4541,1227,4628,1227,4628,1258,4541,1258
816,1348,657,1171,684,1147,842,1325
1181,1283,1186,1283,1186,1302,1181,1302
1295,1272,1307,1272,1307,1315,1295,1315
1348,1272,1360,1272,1360,1315,1348,1315
3806,1316,4262,1316,4262,1359,3806,1359
4475,1315,4690,1315,4690,1360,4475,1360
629,1436,588,1312,627,1298,669,1423
1715,1397,1725,1397,1725,1435,1715,1435
1780,1411,1810,1411,1810,1426,1780,1426
1783,1397,1811,1397,1811,1435,1783,1435
3804,1417,3898,1417,3898,1446,3804,1446
4534,1420,4634,1420,4634,1442,4534,1442
1805,1443,1813,1442,1816,1472,1808,1473
1973,1449,2251,1449,2251,1497,1973,1497
1627,1460,1767,1447,1770,1477,1630,1491
987,1489,995,1489,995,1520,987,1520
1042,1489,1050,1489,1050,1520,1042,1520
1476,1475,1484,1474,1487,1504,1479,1505
1096,1489,1104,1489,1104,1520,1096,1520
1216,1567,1216,1497,1247,1497,1247,1567
3808,1508,4233,1508,4233,1542,3808,1542
4479,1498,4686,1498,4686,1560,4479,1560
2072,1552,2146,1552,2146,1631,2072,1631
1381,1562,1562,1562,1562,1666,1381,1666
578,1609,601,1606,602,1618,579,1621
716,1631,725,1631,723,1664,714,1664
771,1633,780,1633,778,1666,769,1666
1447,1723,1447,1727,1430,1728,1430,1724
918,1712,1159,1708,1160,1748,919,1752
1441,1729,1500,1725,1502,1754,1443,1758
1537,1723,1545,1722,1547,1751,1539,1752
657,1735,661,1755,590,1768,586,1749
1995,1772,2050,1772,2050,1804,1995,1804
1430,1849,1430,1764,1443,1764,1443,1849
1130,1823,1136,1823,1135,1846,1129,1846
1183,1824,1189,1824,1188,1847,1182,1847
1250,1826,1256,1826,1255,1849,1249,1849
1456,1849,1487,1849,1487,1861,1456,1861
3756,1895,3995,1895,3995,1906,3756,1906
4147,1893,4152,1893,4152,1902,4147,1902
4170,1893,4330,1893,4330,1902,4170,1902
4534,1891,4593,1891,4593,1903,4534,1903
2640,1989,2640,1837,2664,1837,2664,1989
1440,1927,1465,1927,1465,1939,1440,1939
954,1927,1012,1927,1012,1960,954,1960
3007,1928,3053,1928,3053,1960,3007,1960
3755,1934,3889,1934,3889,1947,3755,1947
3906,1934,3970,1934,3970,1947,3906,1947
4146,1930,4336,1930,4336,1953,4146,1953
4537,1935,4583,1934,4583,1943,4537,1944
611,2008,611,1945,622,1945,622,2008
3755,1979,3997,1979,3997,1989,3755,1989
4146,1984,4265,1984,4265,1994,4146,1994
4535,1984,4651,1984,4651,1997,4535,1997
1622,2011,1626,2011,1626,2028,1622,2028
1661,2011,1665,2011,1665,2028,1661,2028
1701,2012,1705,2012,1705,2029,1701,2029
1740,2012,1744,2012,1744,2029,1740,2029
1782,2012,1786,2012,1786,2029,1782,2029
1820,2012,1824,2012,1824,2029,1820,2029
1861,2012,1865,2012,1865,2029,1861,2029
1901,2013,1905,2013,1905,2030,1901,2030
1942,2013,1946,2013,1946,2030,1942,2030
1982,2013,1986,2013,1986,2030,1982,2030
2061,2014,2065,2014,2065,2031,2061,2031
2102,2014,2106,2014,2106,2031,2102,2031
2142,2014,2146,2014,2146,2031,2142,2031
2181,2014,2185,2014,2185,2031,2181,2031
3757,2018,3970,2016,3970,2028,3757,2030
4146,2019,4208,2019,4208,2029,4146,2029
4201,2019,4202,2019,4202,2029,4201,2029
4224,2019,4225,2019,4225,2029,4224,2029
4242,2019,4298,2019,4298,2029,4242,2029
1596,2026,1629,2024,1630,2041,1597,2043
4534,2026,4616,2026,4616,2037,4534,2037
745,2042,792,2042,792,2058,745,2058
1593,2047,1653,2047,1653,2068,1593,2068
2120,2049,2153,2049,2153,2064,2120,2064
3757,2062,3983,2062,3983,2075,3757,2075
